Week,Pounds_Soybeans
20110106,1731205840
20110113,3162568474
20110120,3502511936
20110127,3371327270
20110203,2855219188
20110210,2379760880
20110217,3564984580
20110224,4231266332
20110303,2284305900
20110310,2585885476
20110317,2357381358
20110324,1988750940
20110331,1561974254
20110407,1822058940
20110414,585113600
20110421,294896060
20110428,3780000
20110505,291004240
20110512,4320000
20110519,9628160
20110526,551471000
20110602,2304640
20110609,290996980
20110623,281747380
20110728,291003460
20110804,295362720
20110811,3094960
20110818,301871340
20110825,537388150
20110901,407275970
20110908,1056857678
20110915,784199780
20110922,528869100
20110929,532093000
20111006,1853599820
20111013,3567714660
20111020,4004561950
20111027,4307203396
20111103,4729215830
20111110,5555152868
20111117,3881056070
20111124,3713116048
20111201,2964961706
20111208,2399789406
20111215,2350313990
20111222,3952789846
20111229,3380858270
20120105,1696297445
20120112,1735759678
20120119,1542635073
20120126,1606011465
20120202,1844705785
20120209,1476143133
20120216,1574125903
20120223,1603804235
20120301,1147890060
20120308,904458608
20120315,807079928
20120322,952747420
20120329,1093838568
20120405,564734530
20120412,403165950
20120419,396004405
20120426,392008630
20120503,149280040
20120510,652624660
20120517,424285274
20120524,425236820
20120531,149037438
20120607,541258040
20120614,290093385
20120621,126853920
20120628,296375983
20120705,736281930
20120712,400502345
20120719,354605025
20120726,250016820
20120802,395861740
20120809,532981300
20120816,681930450
20120823,657689420
20120830,529267120
20120906,387506850
20120913,262843240
20120920,129416575
20120927,1608647430
20121004,1995571150
20121011,1731800930
20121018,2759171860
20121025,2805109258
20121101,2737251265
20121108,2685345679
20121115,3060611383
20121122,2133209480
20121129,2255184273
20121206,2074106345
20121213,1910734340
20121220,1507328410
20121227,1313585966
20130103,1527519300
20130110,1404091889
20130117,1565780875
20130124,1643798927
20130131,1760311550
20130207,1526674546
20130214,1517697113
20130221,1061029928
20130228,1431069598
20130307,155158350
20130314,303523745
20130321,283647788
20130328,574857428
20130404,553095190
20130411,474330
20130418,1449020
20130425,146371780
20130502,145503468
20130516,866720
20130808,46020
20130822,4337720
20130829,1269100
20130905,622940
20130919,650580035
20130926,441371175
20131003,1025983060
20131010,1718845323
20131017,3070482629
20131024,3702939191
20131031,3730287520
20131107,4060794134
20131114,4361440250
20131121,3102318999
20131128,2335366145
20131205,2486802009
20131212,2272481544
20131219,2581573110
20131226,1085040715
20140102,2720988112
20140109,2613565800
20140116,1998764103
20140123,2763344313
20140130,1526653648
20140206,2345701700
20140213,2208085280
20140220,1506092750
20140227,1355030045
20140306,1297128048
20140313,1146310548
20140320,845009460
20140327,390609380
20140403,429881000
20140410,145503340
20140417,324000
20140424,594000
20140501,1944000
20140529,1080000
20140612,1620000
20140828,972000
20140911,239110495
20140918,481646310
