Year,EXPORTSUSTOCHINA,EXPORTTOTALUS,GAS,USTOTALPROD,PHDI,FOREX,CHINASOYEXPORTOWORLD
2000,26960682,973405,1.48,2757810,-4.438333333,8.28,78548320
2001,28891227,995871,1.42,2890682,-2.87,8.2799,79005352
2002,28889447,1063651,1.35,2756147,-3.03,8.28,84301824
2003,31111451,1044372,1.56,2453845,0.361666667,8.28,89627296
2004,25491031,886551,1.85,3123790,1.213333333,8.28,151924592
2005,25902504,1097156,2.27,3068342,2.449166667,8.1954,181599696
2006,27922933,939879,2.57,3196726,-2.205833333,7.9722,150854176
2007,29051670,1116496,2.8,2677117,-1.644166667,7.6061,205841312
2008,32162159,1158829,3.25,2967007,-0.201666667,6.9476,380210432
2009,40043010,1279294,2.35,3360931,1.251666667,6.8311,266256192
2010,41223585,1499048,2.78,3331306,3.053333333,6.7706,135788576
2011,33808526,1504978,3.52,3097179,0.170833333,6.4629,183606768
2012,42653773,1366335,3.62,3042044,-4.0025,6.3093,285408128
2013,38597172,1327526,3.51,3357984,-2.411666667,6.1472,222147376
2014,49123428,1637826,3.36,3927090,1.2325,6.162,215561760
2015,48885334,1843376,2.43,3926339,1.2925,6.2831,142404592
